POPULATION_SIZE,SELECTION_SIZE,MUTATION_RATE,CROSSOVER_RATE,CROSSOVER_POINTS,GENERATIONS,BATTLE_PARTICIPANTS,ELITE_NUM
50,50,0.01,0.3,3,10,2,0,0.5296000242233276
50,50,0.01,0.3,3,10,2,1,0.5074999928474426
50,50,0.01,0.3,3,10,2,2,0.5069000124931335
50,50,0.01,0.3,3,10,4,0,0.5178999900817871
50,50,0.01,0.3,3,10,4,1,0.5291000008583069
50,50,0.01,0.3,3,10,4,2,0.5342000126838684
50,50,0.01,0.3,3,10,10,0,0.5144000053405762
50,50,0.01,0.3,3,10,10,1,0.5354999899864197
50,50,0.01,0.3,3,10,10,2,0.5349000096321106
50,50,0.01,0.3,3,50,2,0,0.5343000292778015
50,50,0.01,0.3,3,50,2,1,0.5378000140190125
